epoch,train_loss,val_loss,train_accuracy,val_accuracy
1,0.3770145292182224,0.35114549508262777,0.8530680650343415,0.8615523202670659
2,0.3570670562562201,0.3443147490018105,0.8606861582854786,0.8630280710585929
3,0.3518983801223917,0.34112458661965883,0.8620541650610422,0.8638547034588737
4,0.3490116496072468,0.33856146396983283,0.8626223279783733,0.8646389444540119
5,0.34718109228978894,0.3367587410337557,0.8630653772999191,0.865094652059295
6,0.34572466814496416,0.3359700753921416,0.8634616194173945,0.8654788241683998
7,0.34464298416829525,0.33390733745039963,0.8636985992870586,0.8661597361135029
8,0.3436660981541157,0.3329679574262159,0.8639817975909303,0.8663478479738234
9,0.34317665958059634,0.3326811070849256,0.8640150630881627,0.8659848715672898
10,0.3425365021478131,0.33149785522199904,0.86420140874965,0.8665359598341437
11,0.3419278374973588,0.33090700447397825,0.8643609653823928,0.8664379297097513
12,0.34139514969119544,0.33086761452641267,0.8644913779069408,0.8666180931816074
13,0.34088988118929053,0.33013561965650334,0.8646085431095821,0.8670923470266404
14,0.340698700898954,0.3300738158587841,0.8645396570356674,0.8669890179766052
15,0.3403837496865004,0.3299122726529594,0.8646794898780157,0.8671294395061401
16,0.3401695947517035,0.3295610320923451,0.8648125518669451,0.8674076331023884
17,0.339934838202576,0.3289102125297071,0.8649076381997419,0.8673996847139243
18,0.3397305856238222,0.3289140870739128,0.8648726063929221,0.8675745492601376
19,0.33939434421788217,0.32877708458642,0.864962099412025,0.8674049836395671
20,0.3392634917861227,0.3292908007051887,0.8649638657216125,0.8675162610780665
